Sample in Buffer,Sample in Window,TRIGGER,dut/u_custom_icb_mig/u_custom_icb_mig/app_wr_req,dut/u_custom_icb_mig/u_custom_icb_mig/app_rd_req,dut/u_custom_icb_mig/u_custom_icb_mig/mem_rw_addr_1[1:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_addr_offset_1[3:2],dut/u_custom_icb_mig/u_custom_icb_mig/mem_rw_addr[27:4],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_addr[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_wr_mask[15:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_mask_i[15:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_addr_offset[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_wr_data[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_rd_data[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_rd_data_1[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_data_i[31:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_rd_done,dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_done,dut/u_custom_icb_mig/u_custom_icb_mig/r_app_addr_offset[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_rd_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
50,50,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
51,51,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
52,52,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
53,53,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
54,54,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
55,55,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
56,56,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
57,57,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
58,58,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
59,59,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
60,60,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
61,61,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
62,62,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
63,63,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
64,64,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
65,65,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
66,66,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
67,67,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
68,68,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
